Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,Breast,800,Uganda,UGA,0,1,12.63
20,Breast,804,Ukraine,UKR,0,1,13.17
20,Breast,807,North Macedonia,MKD,0,1,19.49
20,Breast,818,Egypt,EGY,0,1,19.89
20,Breast,826,United Kingdom,GBR,0,1,13.98
20,Breast,834,"Tanzania, United Republic of",TZA,0,1,12.91
20,Breast,840,United States of America,USA,0,1,12.19
20,Breast,854,Burkina Faso,BFA,0,1,13.17
20,Breast,858,Uruguay,URY,0,1,21.57
20,Breast,860,Uzbekistan,UZB,0,1,12.98
20,Breast,862,Venezuela,VEN,0,1,16.16
20,Breast,882,Samoa,WSM,0,1,28.09
20,Breast,887,Yemen,YEM,0,1,14
20,Breast,894,Zambia,ZMB,0,1,10.78
