Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,Breast,428,Latvia,LVA,0,0,65.95
20,Breast,430,Liberia,LBR,0,0,33.57
20,Breast,434,Libya,LBY,0,0,30.98
20,Breast,440,Lithuania,LTU,0,0,62.74
20,Breast,442,Luxembourg,LUX,0,0,99.7
20,Breast,450,Madagascar,MDG,0,0,30.32
20,Breast,454,Malawi,MWI,0,0,25.19
20,Breast,458,Malaysia,MYS,0,0,46.09
20,Breast,462,Maldives,MDV,0,0,39.84
20,Breast,466,Mali,MLI,0,0,37.73
20,Breast,470,Malta,MLT,0,0,86.3
20,Breast,474,"France, Martinique",MTQ,0,0,77.16
20,Breast,478,Mauritania,MRT,0,0,34.54
20,Breast,480,Mauritius,MUS,0,0,52.68
20,Breast,484,Mexico,MEX,0,0,39.94
20,Breast,496,Mongolia,MNG,0,0,12.63
20,Breast,498,Moldova,MDA,0,0,46.57
20,Breast,499,Montenegro,MNE,0,0,76.54
20,Breast,504,Morocco,MAR,0,0,58.37
20,Breast,508,Mozambique,MOZ,0,0,19.69
20,Breast,512,Oman,OMN,0,0,33.96
20,Breast,516,Namibia,NAM,0,0,53.93
20,Breast,524,Nepal,NPL,0,0,14.35
20,Breast,528,The Netherlands,NLD,0,0,101.6
20,Breast,540,New Caledonia,NCL,0,0,90.18
20,Breast,548,Vanuatu,VUT,0,0,29.6
20,Breast,554,New Zealand,NZL,0,0,94.36
20,Breast,558,Nicaragua,NIC,0,0,35.32
20,Breast,562,Niger,NER,0,0,29.46
20,Breast,566,Nigeria,NGA,0,0,51.5
20,Breast,578,Norway,NOR,0,0,95.56
20,Breast,586,Pakistan,PAK,0,0,34.23
20,Breast,591,Panama,PAN,0,0,41.39
20,Breast,598,Papua New Guinea,PNG,0,0,46.03
20,Breast,600,Paraguay,PRY,0,0,58.37
20,Breast,604,Peru,PER,0,0,39.3
20,Breast,608,Philippines,PHL,0,0,60.34
20,Breast,616,Poland,POL,0,0,65.96
20,Breast,620,Portugal,PRT,0,0,88.75
20,Breast,624,Guinea-Bissau,GNB,0,0,27.17
20,Breast,626,Timor-Leste,TLS,0,0,26.38
20,Breast,630,Puerto Rico,PRI,0,0,62.32
20,Breast,634,Qatar,QAT,0,0,39.03
20,Breast,638,"France, La Réunion",REU,0,0,55.94
20,Breast,642,Romania,ROU,0,0,69.22
20,Breast,643,Russian Federation,RUS,0,0,57.67
20,Breast,646,Rwanda,RWA,0,0,16.2
20,Breast,662,Saint Lucia,LCA,0,0,51.68
20,Breast,678,Sao Tome and Principe,STP,0,0,19.91
20,Breast,682,Saudi Arabia,SAU,0,0,25.28
20,Breast,686,Senegal,SEN,0,0,29.89
20,Breast,688,Serbia,SRB,0,0,60.5
20,Breast,694,Sierra Leone,SLE,0,0,7.02
20,Breast,702,Singapore,SGP,0,0,72.61
20,Breast,703,Slovakia,SVK,0,0,67.3
20,Breast,704,Viet Nam,VNM,0,0,37.96
20,Breast,705,Slovenia,SVN,0,0,82.27
20,Breast,706,Somalia,SOM,0,0,38.62
20,Breast,710,South Africa,ZAF,0,0,47.8
20,Breast,716,Zimbabwe,ZWE,0,0,35.84
20,Breast,724,Spain,ESP,0,0,80.96
20,Breast,728,South Sudan,SSD,0,0,27.99
20,Breast,729,Sudan,SDN,0,0,39.94
20,Breast,740,Suriname,SUR,0,0,46.38
20,Breast,748,Eswatini,SWZ,0,0,26.17
20,Breast,752,Sweden,SWE,0,0,81.41
20,Breast,756,Switzerland,CHE,0,0,77.42
20,Breast,760,Syrian Arab Republic,SYR,0,0,46.21
20,Breast,762,Tajikistan,TJK,0,0,19.47
20,Breast,764,Thailand,THA,0,0,37.44
20,Breast,768,Togo,TGO,0,0,32.93
20,Breast,780,Trinidad and Tobago,TTO,0,0,54
20,Breast,784,United Arab Emirates,ARE,0,0,57.05
20,Breast,788,Tunisia,TUN,0,0,36.16
20,Breast,792,Türkiye,TUR,0,0,46.77
20,Breast,795,Turkmenistan,TKM,0,0,31.13
20,Breast,800,Uganda,UGA,0,0,23.34
20,Breast,804,Ukraine,UKR,0,0,43.08
20,Breast,807,North Macedonia,MKD,0,0,65.28
20,Breast,818,Egypt,EGY,0,0,55.4
20,Breast,826,United Kingdom,GBR,0,0,94.03
20,Breast,834,"Tanzania, United Republic of",TZA,0,0,25.12
20,Breast,840,United States of America,USA,0,0,95.91
20,Breast,854,Burkina Faso,BFA,0,0,21.38
20,Breast,858,Uruguay,URY,0,0,75.05
20,Breast,860,Uzbekistan,UZB,0,0,27.79
20,Breast,862,Venezuela,VEN,0,0,47.1
20,Breast,882,Samoa,WSM,0,0,88.75
20,Breast,887,Yemen,YEM,0,0,25.35
20,Breast,894,Zambia,ZMB,0,0,22.32
